osmid,surface,highway,maxspeed,lit,sidewalk,cycleway,oneway,reversed,length,geometry,lanes,source:maxspeed,cycleway:left,cycleway:right,cycleway:both,width,oneway:bicycle,access,parking:lane:both,parking:lane:left,lane_score,maxspeed_score,parking,parking_score,facility_type,separated_bike_la,shared_bike_lane,no_access_bike,cycle_track,dirt_cycle_track,no_bike_infra,path_cycle,score
"[972669922, 972669923, 972669925]",paving_stones,service,30,yes,,,False,True,43.479,"LINESTRING (9.9690889 53.5845998, 9.9690129 53.5845812, 9.9689345 53.584562, 9.9687454 53.5845153, 9.9686023 53.5844935, 9.9684714 53.5844655)",1,,,,,,,,,,1,3,0,0,path_cycle,0,0.0,0.0,0.0,0.0,0.0,1.0,3.43333333333333
"[972669922, 972669923, 972669925]",paving_stones,service,30,yes,,,False,False,43.479,"LINESTRING (9.9684714 53.5844655, 9.9686023 53.5844935, 9.9687454 53.5845153, 9.9689345 53.584562, 9.9690129 53.5845812, 9.9690889 53.5845998)",1,,,,,,,,,,1,3,0,0,path_cycle,0,0.0,0.0,0.0,0.0,0.0,1.0,3.43333333333333
26812424,asphalt,primary,50,yes,right,,True,False,62.794,"LINESTRING (9.9707603 53.5828501, 9.9712792 53.5823768)",2,DE:urban,no,track,,,,,,,2,5,0,0,shared_bike_lane,0,1.0,0.0,0.0,0.0,0.0,0.0,4.089437819420754
"[972670400, 972670401, 972670399]",,service,30,yes,,,False,True,57.572,"LINESTRING (9.9707603 53.5828501, 9.9706889 53.5828214, 9.9706391 53.5828014, 9.9704747 53.5827404, 9.9701702 53.5826275, 9.970148 53.5826197, 9.97013 53.5826146, 9.9701014 53.5826112, 9.9700786 53.5826124, 9.9700579 53.582619, 9.9700293 53.5826445)",1,,,,,,,,,,1,3,0,0,path_cycle,0,0.0,0.0,0.0,0.0,0.0,1.0,3.43333333333333
"[972670400, 972670401, 972670399]",,service,30,yes,,,False,False,57.572,"LINESTRING (9.9700293 53.5826445, 9.9700579 53.582619, 9.9700786 53.5826124, 9.9701014 53.5826112, 9.97013 53.5826146, 9.970148 53.5826197, 9.9701702 53.5826275, 9.9704747 53.5827404, 9.9706391 53.5828014, 9.9706889 53.5828214, 9.9707603 53.5828501)",1,,,,,,,,,,1,3,0,0,path_cycle,0,0.0,0.0,0.0,0.0,0.0,1.0,3.43333333333333
"[972670521, 972670522, 972670523]",,service,30,yes,,,False,False,40.157,"LINESTRING (9.9700579 53.5828288, 9.970273 53.5829093, 9.9704472 53.5829756, 9.9704962 53.5829942, 9.9705711 53.5830227)",1,,,,,,,,,,1,3,0,0,path_cycle,0,0.0,0.0,0.0,0.0,0.0,1.0,3.43333333333333
26812424,asphalt,primary,50,yes,right,,True,False,22.898,"LINESTRING (9.9705711 53.5830227, 9.9707603 53.5828501)",2,DE:urban,no,track,,,,,,,2,5,0,0,shared_bike_lane,0,1.0,0.0,0.0,0.0,0.0,0.0,4.089437819420754
"[972670521, 972670522, 972670523]",,service,30,yes,,,False,True,40.157,"LINESTRING (9.9705711 53.5830227, 9.9704962 53.5829942, 9.9704472 53.5829756, 9.970273 53.5829093, 9.9700579 53.5828288)",1,,,,,,,,,,1,3,0,0,path_cycle,0,0.0,0.0,0.0,0.0,0.0,1.0,3.43333333333333
605849957,asphalt,residential,30,yes,right,no,False,False,6.452,"LINESTRING (9.9634931 53.5775301, 9.9634698 53.5775258, 9.9634475 53.5775199, 9.9634265 53.5775125, 9.963407 53.5775037)",2,,,,,,,,,,2,3,0,0,no_bike_infra,0,0.0,0.0,0.0,0.0,1.0,0.0,3.831289040317999
973052605,paving_stones,service,30,,,,False,False,13.13,"LINESTRING (9.9633195 53.5776994, 9.963396 53.5778084)",1,,,,,,,,,,1,3,0,0,path_cycle,0,0.0,0.0,0.0,0.0,0.0,1.0,3.43333333333333
973052605,paving_stones,service,30,,,,False,True,13.13,"LINESTRING (9.963396 53.5778084, 9.9633195 53.5776994)",1,,,,,,,,,,1,3,0,0,path_cycle,0,0.0,0.0,0.0,0.0,0.0,1.0,3.43333333333333
169494300,paving_stones,path,20,yes,,,False,True,76.551,"LINESTRING (9.963396 53.5778084, 9.9625845 53.5780474, 9.9623556 53.5781123)",1,,,,,,,,,,1,2,0,0,path_cycle,0,0.0,0.0,0.0,0.0,0.0,1.0,3.0619534355479834
973052605,paving_stones,service,30,,,,False,False,19.081000000000003,"LINESTRING (9.963396 53.5778084, 9.9635175 53.5777742, 9.9636566 53.5777342)",1,,,,,,,,,,1,3,0,0,path_cycle,0,0.0,0.0,0.0,0.0,0.0,1.0,3.43333333333333
605849957,asphalt,residential,30,yes,right,no,False,True,6.452,"LINESTRING (9.963407 53.5775037, 9.9634265 53.5775125, 9.9634475 53.5775199, 9.9634698 53.5775258, 9.9634931 53.5775301)",2,,,,,,,,,,2,3,0,0,no_bike_infra,0,0.0,0.0,0.0,0.0,1.0,0.0,3.831289040317999
973052602,asphalt,residential,30,yes,right,no,True,False,18.92,"LINESTRING (9.963407 53.5775037, 9.9633778 53.5774993, 9.9633529 53.5774988, 9.9633181 53.5775016, 9.9632919 53.5775053, 9.9632532 53.5775135, 9.9631366 53.5775454)",2,,,,,,,,,,2,3,0,0,no_bike_infra,0,0.0,0.0,0.0,0.0,1.0,0.0,3.831289040317999
142762604,asphalt,primary,50,yes,right,,True,False,10.278,"LINESTRING (9.9675712 53.5834492, 9.9675133 53.5833634)",2,DE:urban,no,track,,,,,,,2,5,0,0,shared_bike_lane,0,1.0,0.0,0.0,0.0,0.0,0.0,4.089437819420754
"[987359195, 987359196, 987359197]",,service,30,yes,,,False,False,40.717,"LINESTRING (9.9675712 53.5834492, 9.9674282 53.5835505, 9.9673037 53.5836386, 9.9671749 53.5837298)",1,,,,,,,,,,1,3,0,0,path_cycle,0,0.0,0.0,0.0,0.0,0.0,1.0,3.43333333333333
"[987359195, 987359196, 987359197]",,service,30,yes,,,False,True,40.717,"LINESTRING (9.9671749 53.5837298, 9.9673037 53.5836386, 9.9674282 53.5835505, 9.9675712 53.5834492)",1,,,,,,,,,,1,3,0,0,path_cycle,0,0.0,0.0,0.0,0.0,0.0,1.0,3.43333333333333
142762611,asphalt,residential,30,yes,both,opposite,True,False,12.946,"LINESTRING (9.964976 53.5825473, 9.9651406 53.5826106)",2,,,,,,no,,,,2,3,0,0,cycle_track,0,0.0,0.0,1.0,0.0,0.0,0.0,3.618398637137989
"[1022682176, 1022682172]",,service,30,yes,,,False,False,23.15,"LINESTRING (9.964976 53.5825473, 9.9650637 53.5824832, 9.9650798 53.5824707, 9.9651924 53.5823835)",1,,,,,,,,,,1,3,0,0,path_cycle,0,0.0,0.0,0.0,0.0,0.0,1.0,3.43333333333333
142762611,asphalt,residential,30,yes,both,opposite,True,False,85.465,"LINESTRING (9.9651406 53.5826106, 9.9654191 53.5827176, 9.9658846 53.5828468, 9.9661499 53.5829173, 9.9663023 53.582943)",2,,,,,,no,,,,2,3,0,0,cycle_track,0,0.0,0.0,1.0,0.0,0.0,0.0,3.618398637137989
"[1022682168, 1022682169, 1022682170]",,service,30,yes,,,False,False,34.652,"LINESTRING (9.9651406 53.5826106, 9.9652352 53.5825412, 9.96536 53.5824502, 9.9654083 53.582415, 9.9654854 53.5824532)",1,,,,,,,,,,1,3,0,0,path_cycle,0,0.0,0.0,0.0,0.0,0.0,1.0,3.43333333333333
"[1022682166, 1022682167]",,service,30,yes,,,False,True,23.715,"LINESTRING (9.9651488 53.5823612, 9.9650348 53.5824502, 9.9649233 53.5825271)",1,,,,,,,,,,1,3,0,0,path_cycle,0,0.0,0.0,0.0,0.0,0.0,1.0,3.43333333333333
"[1022682168, 1022682169, 1022682170]",,service,30,yes,,,False,True,34.652,"LINESTRING (9.9654854 53.5824532, 9.9654083 53.582415, 9.96536 53.5824502, 9.9652352 53.5825412, 9.9651406 53.5826106)",1,,,,,,,,,,1,3,0,0,path_cycle,0,0.0,0.0,0.0,0.0,0.0,1.0,3.43333333333333
"[1022682176, 1022682172]",,service,30,yes,,,False,True,23.15,"LINESTRING (9.9651924 53.5823835, 9.9650798 53.5824707, 9.9650637 53.5824832, 9.964976 53.5825473)",1,,,,,,,,,,1,3,0,0,path_cycle,0,0.0,0.0,0.0,0.0,0.0,1.0,3.43333333333333
"[1040637120, 605881859]",asphalt,residential,30,yes,"['both', 'separate']",no,False,True,69.009,"LINESTRING (9.9694612 53.5765112, 9.9693698 53.5764573, 9.968696 53.5760885)",2,,,,,,,,,,2,3,0,0,no_bike_infra,0,0.0,0.0,0.0,0.0,1.0,0.0,3.831289040317999
1040637125,asphalt,tertiary,50,yes,,,False,False,15.982999999999997,"LINESTRING (9.9694612 53.5765112, 9.9694965 53.5764916, 9.9695409 53.5764801, 9.9695892 53.5764781, 9.9696359 53.5764859, 9.9696755 53.5765024)",2,,,,no,,,,,,2,5,0,0,no_bike_infra,0,0.0,0.0,0.0,0.0,1.0,0.0,4.574048835888693
1040637125,asphalt,tertiary,50,yes,,,False,True,13.056000000000001,"LINESTRING (9.9694612 53.5765112, 9.9694385 53.5765373, 9.9694323 53.5765664, 9.9694431 53.576595, 9.9694697 53.5766198)",2,,,,no,,,,,,2,5,0,0,no_bike_infra,0,0.0,0.0,0.0,0.0,1.0,0.0,4.574048835888693
"[5112497, 1040637119]",asphalt,tertiary,50,yes,"['both', 'separate']",no,False,False,386.728,"LINESTRING (9.9694697 53.5766198, 9.9693729 53.5766794, 9.9690811 53.5768446, 9.9659241 53.5785868, 9.9657506 53.5786825, 9.9657115 53.5787024, 9.9655076 53.5788186, 9.9654479 53.5788492, 9.9653943 53.5788706, 9.9651254 53.578936)",2,DE:urban,,,,,,,perpendicular,,2,5,1,1,no_bike_infra,0,0.0,0.0,0.0,0.0,1.0,0.0,5.154968767745593
1040637125,asphalt,tertiary,50,yes,,,False,False,13.056000000000001,"LINESTRING (9.9694697 53.5766198, 9.9694431 53.576595, 9.9694323 53.5765664, 9.9694385 53.5765373, 9.9694612 53.5765112)",2,,,,no,,,,,,2,5,0,0,no_bike_infra,0,0.0,0.0,0.0,0.0,1.0,0.0,4.574048835888693
1040637125,asphalt,tertiary,50,yes,,,False,True,16.349999999999998,"LINESTRING (9.9694697 53.5766198, 9.969509 53.5766376, 9.9695563 53.5766465, 9.9696057 53.5766452, 9.9696515 53.5766339, 9.969688 53.576614)",2,,,,no,,,,,,2,5,0,0,no_bike_infra,0,0.0,0.0,0.0,0.0,1.0,0.0,4.574048835888693
"[137247324, 1040637118]",asphalt,residential,30,yes,"['both', 'separate']",no,False,False,64.178,"LINESTRING (9.969688 53.576614, 9.9697877 53.5766608, 9.9704297 53.576987)",2,,,,,,,,,,2,3,0,0,no_bike_infra,0,0.0,0.0,0.0,0.0,1.0,0.0,3.831289040317999
1040637125,asphalt,tertiary,50,yes,,,False,False,16.35,"LINESTRING (9.969688 53.576614, 9.9696515 53.5766339, 9.9696057 53.5766452, 9.9695563 53.5766465, 9.969509 53.5766376, 9.9694697 53.5766198)",2,,,,no,,,,,,2,5,0,0,no_bike_infra,0,0.0,0.0,0.0,0.0,1.0,0.0,4.574048835888693
1040637125,asphalt,tertiary,50,yes,,,False,True,13.512,"LINESTRING (9.969688 53.576614, 9.9697114 53.576587, 9.9697172 53.5765568, 9.9697047 53.5765273, 9.9696755 53.5765024)",2,,,,no,,,,,,2,5,0,0,no_bike_infra,0,0.0,0.0,0.0,0.0,1.0,0.0,4.574048835888693
1040637125,asphalt,tertiary,50,yes,,,False,False,13.511999999999999,"LINESTRING (9.9696755 53.5765024, 9.9697047 53.5765273, 9.9697172 53.5765568, 9.9697114 53.576587, 9.969688 53.576614)",2,,,,no,,,,,,2,5,0,0,no_bike_infra,0,0.0,0.0,0.0,0.0,1.0,0.0,4.574048835888693
1040637125,asphalt,tertiary,50,yes,,,False,True,15.983,"LINESTRING (9.9696755 53.5765024, 9.9696359 53.5764859, 9.9695892 53.5764781, 9.9695409 53.5764801, 9.9694965 53.5764916, 9.9694612 53.5765112)",2,,,,no,,,,,,2,5,0,0,no_bike_infra,0,0.0,0.0,0.0,0.0,1.0,0.0,4.574048835888693
234865664,asphalt,residential,30,yes,both,opposite,True,False,41.102,"LINESTRING (9.9645243 53.5833393, 9.9640462 53.5831025)",2,,,,,6.8,no,,,,2,3,0,0,cycle_track,0,0.0,0.0,1.0,0.0,0.0,0.0,3.618398637137989
"[1046631723, 1046631724, 1046631725]",,service,30,yes,,,False,False,60.852000000000004,"LINESTRING (9.9645243 53.5833393, 9.9644159 53.5834378, 9.964333 53.5835122, 9.9640182 53.5837967)",1,,,,,,,,,,1,3,0,0,path_cycle,0,0.0,0.0,0.0,0.0,0.0,1.0,3.43333333333333
"[1046631723, 1046631724, 1046631725]",,service,30,yes,,,False,True,60.852000000000004,"LINESTRING (9.9640182 53.5837967, 9.964333 53.5835122, 9.9644159 53.5834378, 9.9645243 53.5833393)",1,,,,,,,,,,1,3,0,0,path_cycle,0,0.0,0.0,0.0,0.0,0.0,1.0,3.43333333333333
239293568,asphalt,service,50,yes,,,False,True,29.805,"LINESTRING (9.9686741 53.5858651, 9.9686377 53.5859874, 9.9686242 53.5860327, 9.9685932 53.5861288)",2,,,,,,,,,,2,5,0,0,no_bike_infra,0,0.0,0.0,0.0,0.0,1.0,0.0,4.574048835888693
1085668472,asphalt,service,50,yes,,,False,False,70.666,"LINESTRING (9.9686741 53.5858651, 9.9687287 53.5856814, 9.9688857 53.5852422)",2,,,,,,,,,,2,5,0,0,no_bike_infra,0,0.0,0.0,0.0,0.0,1.0,0.0,4.574048835888693
719283014,asphalt,tertiary,50,yes,,track,False,False,20.798,"LINESTRING (9.965707 53.5852034, 9.9654343 53.5851097)",2,DE:urban,,,,,,,,,2,5,0,0,shared_bike_lane,0,1.0,0.0,0.0,0.0,0.0,0.0,4.089437819420754
719283014,asphalt,tertiary,50,yes,,track,False,True,18.541999999999998,"LINESTRING (9.965707 53.5852034, 9.9657595 53.5852214, 9.9659513 53.5852857)",2,DE:urban,,,,,,,,,2,5,0,0,shared_bike_lane,0,1.0,0.0,0.0,0.0,0.0,0.0,4.089437819420754
1104809678,paving_stones,service,30,yes,,,False,False,7.651,"LINESTRING (9.965707 53.5852034, 9.9657451 53.5851614, 9.9657619 53.5851428)",1,,,,,,,,,,1,3,0,0,path_cycle,0,0.0,0.0,0.0,0.0,0.0,1.0,3.43333333333333
1104809678,paving_stones,service,30,yes,,,False,True,7.651,"LINESTRING (9.9657619 53.5851428, 9.9657451 53.5851614, 9.965707 53.5852034)",1,,,,,,,,,,1,3,0,0,path_cycle,0,0.0,0.0,0.0,0.0,0.0,1.0,3.43333333333333
